ANO_ELEICAO,NM_UE,DS_CARGO,NM_CANDIDATO,SG_PARTIDO,NR_IDADE_DATA_POSSE,CD_GENERO,DS_GENERO,DS_COR_RACA,VR_DESPESA_MAX_CAMPANHA
2020,CHÃ DE ALEGRIA,VEREADOR,MOISES JOSE BATISTA DA SILVA,PSD,46,2,MASCULINO,PARDA,15585.59
2020,PETROLINA,VEREADOR,RONALDO LUIZ DE SOUZA,DEM,58,2,MASCULINO,BRANCA,131218.52
2020,TRACUNHAÉM,VEREADOR,PATRICIA LOPES PEREIRA,PDT,26,4,FEMININO,PARDA,12307.75
2020,GARANHUNS,VEREADOR,PAULO BARBOSA LEAL,PSB,76,2,MASCULINO,BRANCA,25872.46
2020,CAMARAGIBE,VEREADOR,EDIMILSON DIONISIO DA SILVA,PL,45,2,MASCULINO,PRETA,24175.84
2020,LAGOA DO OURO,VEREADOR,JEFERSON MELO BEZERRA DA SILVA,PT,21,2,MASCULINO,PRETA,24284.49
2020,TORITAMA,VEREADOR,JOSÉ ELI BEZERRA JÚNIOR,PSD,26,2,MASCULINO,BRANCA,12307.75
2020,GAMELEIRA,VEREADOR,CLEIDE MARIA DO NASCIMENTO,PL,27,4,FEMININO,PARDA,12307.75
2020,ITAPETIM,VEREADOR,JOSE ROBERTO TEIXEIRA COSMO,PT,48,2,MASCULINO,PARDA,12307.75
2020,CABO DE SANTO AGOSTINHO,VEREADOR,ANIBAL TITO DA SILVA,PSL,69,2,MASCULINO,PRETA,109902.99
2020,ILHA DE ITAMARACÁ,VEREADOR,KLEBER JOSÉ DE ASSIS,PSL,39,2,MASCULINO,PARDA,29696.26
2020,SALGUEIRO,VEREADOR,JOAQUIM EMÍDIO DE SOUZA NETO,PMN,45,2,MASCULINO,BRANCA,30058.47
2020,RECIFE,VEREADOR,RONALDO VICENTE DE ARAUJO,PODE,44,2,MASCULINO,PARDA,1011149.65
2020,BOM CONSELHO,VEREADOR,EDNA ALVES FIRMINO,PTB,34,4,FEMININO,PARDA,25615.01
2020,ALIANÇA,VEREADOR,ENILDO MARCIO DA SILVA MARINHO,PSL,44,2,MASCULINO,BRANCA,23466.51
2020,POMBOS,PREFEITO,REBECA EVANGELISTA LINS,PSD,51,4,FEMININO,BRANCA,123077.42
2020,RECIFE,VEREADOR,FABIANA RODRIGUES DE ARRUDA AZEVEDO,PODE,43,4,FEMININO,BRANCA,1011149.65
2020,SANTA MARIA DO CAMBUCÁ,VEREADOR,LEONARDO ENIO DE ASSUNÇAO QUEIROZ,PSB,44,2,MASCULINO,BRANCA,12307.75
2020,SÃO BENTO DO UNA,VEREADOR,JÉSSICA CANUTO DA ROCHA,PSC,24,4,FEMININO,BRANCA,17226.56
2020,TIMBAÚBA,VEREADOR,EVERSON BEZERRA DA SILVA,PTB,42,2,MASCULINO,PARDA,45785.3
2020,SANTA CRUZ DO CAPIBARIBE,VEREADOR,ADRIANO BARBOZA RAMOS,PP,41,2,MASCULINO,PARDA,43192.26
2020,TRINDADE,VEREADOR,FRANCISCO VALERIO DE SOUZA,PSL,61,2,MASCULINO,PARDA,12307.75
2020,LAJEDO,VEREADOR,ROBERTA ERYKA CAVALCANTI MONTEIRO,PSDB,40,4,FEMININO,PARDA,19050.54
2020,JABOATÃO DOS GUARARAPES,VEREADOR,EDNALDO SOARES DA SILVA,REPUBLICANOS,49,2,MASCULINO,PRETA,138639.74
2020,OLINDA,VEREADOR,MARIA WALÉRIA WANDA SOARES DE LIMA,PL,56,4,FEMININO,PARDA,105385.98
2020,VERTENTES,VEREADOR,MARIA LUIZA RAMOS COSTA,PP,36,4,FEMININO,BRANCA,23466.51
2020,JATOBÁ,VICE-PREFEITO,MARIA JOSÉ DO NASCIMENTO,SOLIDARIEDADE,54,4,FEMININO,PARDA,-1
2020,RECIFE,VEREADOR,MARCELA CAVALCANTI DO NASCIMENTO OLIVEIRA,PRTB,41,4,FEMININO,SEM INFORMAÇÃO,1011149.65
2020,SANTA CRUZ DO CAPIBARIBE,VEREADOR,CLEYDSON JOSE DE SOUSA SILVA,PSD,42,2,MASCULINO,PARDA,43192.26
2020,BELÉM DE MARIA,VEREADOR,ADRIANO AMARO SILVA DE OLIVEIRA,AVANTE,65,2,MASCULINO,PARDA,12307.75
